"filename", "language", "C#", "JSON", "MSBuild", "EditorConfig", "SQL", "Solution File", "HTTP", "Log", "comment", "blank", "total"
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Services\EmailService.cs", "C#", 45, 0, 0, 0, 0, 0, 0, 0, 0, 3, 48
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Services\RecommendationService.cs", "C#", 27, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Utils\AuctionRecommender.cs", "C#", 132, 0, 0, 0, 0, 0, 0, 0, 0, 32, 164
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Utils\AuctionStatusChecker.cs", "C#", 32, 0, 0, 0, 0, 0, 0, 0, 0, 6, 38
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Utils\ConfigOptions\GCSConfigOptions.cs", "C#", 8, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Utils\EmailBody.cs", "C#", 148, 0, 0, 0, 0, 0, 0, 0, 0, 10, 158
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Utils\Extensions.cs", "C#", 17, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Utils\GetAucReq.cs", "C#", 17, 0, 0, 0, 0, 0, 0, 0, 0, 9, 26
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Utils\IDailycoService.cs", "C#", 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Utils\IEmailService.cs", "C#", 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Utils\PaymentUtils.cs", "C#", 58, 0, 0, 0, 0, 0, 0, 0, 0, 9, 67
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\appsettings.Development.json", "JSON", 0, 14, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\appsettings.json", "JSON", 0, 36, 0, 0, 0, 0, 0, 0, 0, 1, 37
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\bin\Debug\net8.0\Aukcionas.deps.json", "JSON", 0, 2677, 0, 0, 0, 0, 0, 0, 0, 0, 2677
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\bin\Debug\net8.0\Aukcionas.runtimeconfig.json", "JSON", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 21
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\bin\Debug\net8.0\appsettings.Development.json", "JSON", 0, 14, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\bin\Debug\net8.0\appsettings.json", "JSON", 0, 36, 0, 0, 0, 0, 0, 0, 0, 1, 37
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\obj\Aukcionas.csproj.EntityFrameworkCore.targets", "MSBuild", 0, 0, 28, 0, 0, 0, 0, 0, 0, 1, 29
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\obj\Aukcionas.csproj.nuget.dgspec.json", "JSON", 0, 143, 0, 0, 0, 0, 0, 0, 0, 0, 143
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\obj\Aukcionas.csproj.nuget.g.props", "MSBuild", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 33
