"filename", "language", "MSBuild", "C#", "CSS", "EditorConfig", "JSON", "HTML", "XML", "JavaScript", "SQL", "HTTP", "Solution File", "Log", "comment", "blank", "total"
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240420100142_ChatFunctionv4.Designer.cs", "C#", 0, -535, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -203, -740
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240420100142_ChatFunctionv4.cs", "C#", 0, -112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -24, -139
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240420111413_Chatfunctionv5.Designer.cs", "C#", 0, -526, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -197, -725
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240420111413_Chatfunctionv5.cs", "C#", 0, -50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -10, -62
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\DataContextModelSnapshot.cs", "C#", 0, -524, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -197, -722
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Models\Auction.cs", "C#", 0, -99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -103
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Models\Chat.cs", "C#", 0, -12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -13
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Models\DecodedPaymentToken.cs", "C#", 0, -8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -9
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Models\EmailModel.cs", "C#", 0, -17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -18
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Models\Message.cs", "C#", 0, -13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -14
